id,name,address,district,price,rating,lat,lon,tags
1,Bún Bò Huế O Xinh,22 Nguyễn Hữu Cầu - Tân Định,TPHCM,55000,4.5,10.7915,106.6915,"TPHCM, Miền Trung, Bún bò, Cay Bò, Vỉa hè Bình dân"
2,Phở Tàu Bay,433 Lý Thái Tổ - Quận 10,TPHCM,60000,4.3,10.7712,106.6890,"TPHCM, Miền Bắc, Phở, Bò, Truyền thống Sáng"
3,Cơm Tấm Ba Ghiền,84 Đặng Văn Ngữ - Phú Nhuận,TPHCM,70000,4.1,10.7968,106.6750,"TPHCM, Miền Nam, Cơm tấm, Sườn Nướng Mỡ hành, Đêm Bình dân"
4,Pizza 4P's Hai Bà Trưng,151B Hai Bà Trưng - Quận 3,TPHCM,250000,4.9,10.7805,106.6980,"TPHCM, Âu, Pizza, Phô mai Ý, Sang trọng Hẹn hò"
5,Bánh Xèo Đinh Công Tráng,46A Đinh Công Tráng - Quận 1,TPHCM,40000,4.2,10.7890,106.6910,"TPHCM, Miền Nam, Bánh xèo, Tôm Thịt Giòn, Vỉa hè Truyền thống"
6,Hum Vegetarian,32 Võ Văn Tần - Quận 3,TPHCM,180000,4.7,10.7780,106.7030,"TPHCM, Á, Chay, Rau củ Nấm, Yên tĩnh Sang trọng"
7,Gà Rán Popeyes,62 Nguyễn Đức Cảnh - Quận 7,TPHCM,80000,4.0,10.7720,106.6700,"TPHCM, Âu, Gà rán, Gà Giòn Cay, Nhanh Ăn vặt"
8,Mì Quảng Ba Mua,193 Cách Mạng Tháng 8 - Quận 3,TPHCM,50000,4.4,10.7990,106.6550,"TPHCM, Miền Trung, Mì quảng, Gà Tôm Thịt, Bình dân Trưa"
9,Bún Đậu Mẹt,14 Đồng Nai - Quận 10,TPHCM,90000,4.1,10.7750,106.7000,"TPHCM, Miền Bắc, Bún đậu, Mắm tôm Thịt luộc, Vỉa hè Bạn bè"
10,Tokbokki Goobne,99 Nguyễn Thị Thập - Quận 7,TPHCM,120000,4.3,10.7300,106.7100,"TPHCM, Hàn Quốc, Tokbokki, Cay Phô mai, Bạn bè"
11,Bún Chả Hà Nội (Huỳnh Thúc K),18 Huỳnh Thúc Kháng - Quận 1,TPHCM,60000,4.2,10.7730,106.7010,"TPHCM, Miền Bắc, Bún chả, Nướng Thịt, Trưa Văn phòng"
12,Ốc Đào,212B Nguyễn Trãi - Quận 1,TPHCM,150000,4.0,10.7690,106.6950,"TPHCM, Miền Nam, Ốc, Hải sản Cay Bơ tỏi, Vỉa hè Nhậu Đêm"
13,Sushi Hokkaido Sachi,139 Nguyễn Trãi - Quận 1,TPHCM,400000,4.8,10.7810,106.7020,"TPHCM, Nhật Bản, Sushi, Cá sống Tươi, Sang trọng Hẹn hò"
14,Lẩu Bò Tí Chuột,21 Cống Quỳnh - Quận 1,TPHCM,120000,4.1,10.7550,106.6650,"TPHCM, Miền Nam, Lẩu, Bò Nấm, Vỉa hè Nhậu Đêm"
15,Hủ Tiếu Nam Vang (Quỳnh),A65 Nguyễn Trãi - Quận 1,TPHCM,50000,4.3,10.7600,106.6850,"TPHCM, Miền Nam, Hủ tiếu, Tôm Thịt bằm, Truyền thống Đêm"
16,Gogi House (K-BBQ),303 Hai Bà Trưng - Quận 3,TPHCM,300000,4.5,10.7750,106.6680,"TPHCM, Hàn Quốc, Đồ nướng, Bò Kim chi, Buffet Gia đình"
17,Bánh Mì Huỳnh Hoa,26 Lê Thị Riêng - Quận 1,TPHCM,65000,4.4,10.7715,106.6930,"TPHCM, Miền Nam, Bánh mì, Pate Thịt nguội, Mang đi Xếp hàng"
18,The Coffee House,183 Trần Quốc Thảo - Quận 3,TPHCM,50000,4.2,10.7790,106.6900,"TPHCM, Á, Cafe, Trà Cà phê Sữa, Yên tĩnh Làm việc"
19,Chè Thái Ý Phương,380 Nguyễn Tri Phương - Quận 10,TPHCM,30000,4.3,10.7650,106.6670,"TPHCM, Thái Lan, Chè thái, Sầu riêng Ngọt, Ăn vặt Đêm"
20,Cục Gạch Quán,10 Đặng Tất - Quận 1,TPHCM,300000,4.6,10.7920,106.6850,"TPHCM, Việt Nam, Cơm việt, Canh chua Cá kho, Sang trọng Truyền thống"
21,Lẩu Dê 404,9 Nguyễn Văn Linh - Quận 7,TPHCM,130000,4.0,10.7620,106.7050,"TPHCM, Miền Nam, Lẩu dê, Dê Nướng, Nhậu Vỉa hè"
22,Bò Tơ Quán Mộc,486 Nguyễn Thị Thập - Quận 7,TPHCM,250000,4.2,10.8300,106.7500,"TPHCM, Việt Nam, Bò tơ, Nướng Cuốn, Gia đình Rộng rãi"
23,Phá Lấu Bò Cô Thảo,243/29G Tôn Đản - Quận 4,TPHCM,30000,4.4,10.7610,106.7040,"TPHCM, Miền Nam, Phá lấu, Bò Nước cốt dừa, Ăn vặt Vỉa hè"
24,El Gaucho Steakhouse,74 Hai Bà Trưng - Quận 1,TPHCM,1500000,4.8,10.7820,106.7050,"TPHCM, Âu, Steak, Bò Rượu vang, Sang trọng Hẹn hò"
25,Kichi-Kichi Lẩu Băng Chuyền,SC VivoCity - Quận 7,TPHCM,280000,4.1,10.7310,106.7110,"TPHCM, Á, Lẩu, Bò Nấm Hải sản, Buffet Băng chuyền"
26,Cơm Gà Xối Mỡ 007,007 Lô F Chung Cư Bàu Cát - Tân Bình,TPHCM,45000,4.0,10.7520,106.6700,"TPHCM, Trung Hoa, Cơm gà, Gà chiên Xối mỡ, Bình dân Nhanh"
27,Ramen Tomidaya,8A/1C1 Thái Văn Lung - Quận 1,TPHCM,90000,4.6,10.8000,106.7100,"TPHCM, Nhật Bản, Ramen, Mì Trứng, Nhỏ Ấm cúng"
28,Dimsum (Tiến Phát),18 Ký Hòa - Quận 5,TPHCM,70000,4.4,10.7500,106.6500,"TPHCM, Trung Hoa, Dimsum, Há cảo Xíu mại, Sáng Điểm tâm"
29,Haidilao Hotpot,Bitexco Tower - Quận 1,TPHCM,400000,4.9,10.7770,106.7010,"TPHCM, Trung Hoa, Lẩu, Bò Cay Tứ Xuyên, Dịch vụ tốt Sang trọng"
30,Gong Cha (Trà Sữa),143 Tôn Thất Đạm - Quận 1,TPHCM,55000,4.3,10.7760,106.7000,"TPHCM, Đài Loan, Trà sữa, Trân châu Ngọt, Mang đi Chuỗi"
31,Bánh Canh Cua (Hoàng Lan),484 Vĩnh Viễn - Quận 10,TPHCM,45000,4.5,10.7950,106.6900,"TPHCM, Miền Nam, Bánh canh, Cua Ghẹ Sệt, Bình dân Đông đúc"
32,Mì Ý (Pasta Fresca),28 Thảo Điền - Quận 2,TPHCM,150000,4.6,10.8050,106.7350,"TPHCM, Âu, Mì ý, Pasta Phô mai, Sân vườn Hẹn hò"
33,BiaCraft Artisan Ales,1 Lê Ngô Cát - Quận 3,TPHCM,120000,4.5,10.7800,106.6880,"TPHCM, Âu, Bia thủ công, Đồ tây Nhắm, Nhậu Bạn bè"
34,Chả Cá Lã Vọng (Chi nhánh HCM),36 Tôn Thất Tùng - Quận 1,TPHCM,180000,4.3,10.7850,106.6950,"TPHCM, Miền Bắc, Chả cá, Cá Lăng Mắm tôm, Truyền thống Gia đình"
35,Bingsu (Sul BING),219 Nguyễn Trãi - Quận 1,TPHCM,80000,4.4,10.7910,106.6800,"TPHCM, Hàn Quốc, Bingsu, Đá bào Trái cây, Tráng miệng Mát"
36,Xôi Gà (Bà Chiểu),318/1 Bùi Hữu Nghĩa - Bình Thạnh,TPHCM,25000,4.2,10.8010,106.6980,"TPHCM, Miền Nam, Xôi, Gà Xá xíu, Đêm Vỉa hè Mang đi"
37,D'Maris Buffet,Lotte Mart - Quận 7,TPHCM,700000,4.5,10.7350,106.7150,"TPHCM, Quốc Tế, Buffet, Hải sản Sushi Steak, Sang trọng Tiệc"
38,Cà Phê Trứng (Phinholic),113 Nguyễn Huệ - Quận 1,TPHCM,45000,4.1,10.7930,106.6820,"TPHCM, Việt Nam, Cafe trứng, Trứng Sữa, Yên tĩnh Ngắm cảnh"
39,Bánh Tráng Trảng Bàng (Hoàng Ty),74 Trương Quốc Dung - Phú Nhuận,TPHCM,100000,4.0,10.7780,106.6850,"TPHCM, Miền Nam, Bánh tráng, Thịt luộc Rau rừng, Gia đình Cuốn"
40,Bò Né (Lệ Hồng),489/21/35 Huỳnh Văn Bánh - Phú Nhuận,TPHCM,50000,4.2,10.7700,106.6650,"TPHCM, Miền Nam, Bò né, Bò Trứng Pate, Sáng Bình dân"
41,King Roti,34 Hồ Tùng Mậu - Quận 1,TPHCM,15000,4.3,10.7735,106.7020,"TPHCM, Á, Bánh ngọt, Bơ Cà phê, Ăn vặt Mang đi"
42,Lẩu Mắm (Bà Dú),19 Cao Thắng - Quận 3,TPHCM,180000,4.1,10.7740,106.6920,"TPHCM, Miền Tây, Lẩu mắm, Cá Kèo Rau, Truyền thống Gia đình"
43,Kem Bạch Đằng,28 Lê Lợi - Quận 1,TPHCM,60000,3.8,10.7750,106.7015,"TPHCM, Việt Nam, Kem, Trái cây Dừa, Truyền thống Lâu đời"
44,Ba Rọi Nướng (Panda BBQ),157 Nguyễn Tri Phương - Quận 5,TPHCM,40000,4.0,10.7680,106.6600,"TPHCM, Á, Xiên nướng, Ba rọi Bò, Vỉa hè Nhậu Sinh viên"
45,Cơm Niêu (Sài Gòn),27 Tú Xương - Quận 3,TPHCM,120000,4.3,10.7820,106.6890,"TPHCM, Việt Nam, Cơm niêu, Cá kho Tộ, Gia đình Truyền thống"
46,Cà Phê Vợt (Phan Đình Phùng),330 Phan Đình Phùng - Phú Nhuận,TPHCM,18000,4.5,10.7940,106.6830,"TPHCM, Việt Nam, Cafe vợt, Sữa đá, Vỉa hè Đêm Truyền thống"
47,42nd Scroll (Tráng miệng),42 Trần Cao Vân - Quận 3,TPHCM,90000,4.6,10.7765,106.6990,"TPHCM, Âu, Bánh ngọt, Trà Bánh, Hẹn hò Lãng mạn"
48,Gà Nướng Cơm Lam (Gà Mẹt),15 Trần Quốc Toản - Quận 3,TPHCM,200000,4.2,10.8400,106.7600,"TPHCM, Tây Nguyên, Gà nướng, Cơm lam Gà ta, Gia đình Hội nhóm"
49,Đậu Hũ (Orisoy),53 Thống Nhất - Thủ Đức,TPHCM,25000,4.1,10.7710,106.6720,"TPHCM, Á, Đậu hũ, Trân châu Đường đen, Ăn vặt Tráng miệng"
50,Hotpot Story,Vạn Hạnh Mall - Quận 10,TPHCM,250000,3.9,10.7800,106.7000,"TPHCM, Á, Lẩu, Buffet Bò Hải sản, Chuỗi Gia đình"
51,Cơm Gà (Trần Ký),144 Ký Con - Quận 1,TPHCM,60000,4.1,10.7540,106.6680,"TPHCM, Trung Hoa, Cơm gà, Gà xối mỡ, Bình dân Trưa"
52,Bò 7 Món (Ánh Hồng),71 Nguyễn Thái Bình - Quận 1,TPHCM,300000,4.3,10.7620,106.6820,"TPHCM, Miền Nam, Bò 7 món, Bò Cuốn, Gia đình Tiệc"
53,Phở Lệ,413 Nguyễn Trãi - Quận 5,TPHCM,65000,4.4,10.7580,106.6750,"TPHCM, Miền Nam, Phở, Bò viên Gầu, Truyền thống Béo"
54,Bánh Cuốn (Tây Hồ),127 Đinh Tiên Hoàng - Quận 1,TPHCM,50000,4.0,10.7900,106.6950,"TPHCM, Miền Bắc, Bánh cuốn, Chả lụa Nem, Sáng Nhẹ nhàng"
55,Lẩu Nấm (Ashima),35A Nguyễn Đình Chiểu - Quận 1,TPHCM,350000,4.5,10.7795,106.6870,"TPHCM, Á, Lẩu nấm, Nấm thiên nhiên, Sang trọng Sức khỏe"
56,Cháo Sườn (Chú Chen),281 Nguyễn Trãi - Quận 1,TPHCM,40000,4.2,10.7730,106.6940,"TPHCM, Trung Hoa, Cháo sườn, Sườn gan, Ăn vặt Đêm"
57,Highlands Coffee,Diamond Plaza - Quận 1,TPHCM,45000,4.0,10.7830,106.6960,"TPHCM, Việt Nam, Cafe, Phin Sữa đá, Chuỗi Làm việc"
58,Mì Vằn Thắn (Hòa Mã),50 Cao Thắng - Quận 3,TPHCM,45000,4.1,10.7750,106.6810,"TPHCM, Trung Hoa, Mì vằn thắn, Sủi cảo Xá xíu, Sáng Nước"
59,Vịt Quay (Phát Thành),524 Phan Văn Trị - Gò Vấp,TPHCM,200000,4.4,10.7510,106.6620,"TPHCM, Trung Hoa, Vịt quay, Vịt Bánh bao, Mang đi Gia đình"
60,Bánh Bột Lọc (Bà Nội),178/4 Phan Đăng Lưu - Phú Nhuận,TPHCM,30000,4.5,10.7960,106.6800,"TPHCM, Miền Trung, Bánh bột lọc, Tôm thịt Mắm, Ăn vặt Vỉa hè"
61,Mì Cay (Sasin),157 Nguyễn Gia Trí - Bình Thạnh,TPHCM,60000,4.0,10.7720,106.6690,"TPHCM, Hàn Quốc, Mì cay, Hải sản Bò 7 cấp độ, Sinh viên"
62,Bò Kho (Út Nhung),109 Nguyễn Thiện Thuật - Quận 3,TPHCM,50000,4.2,10.7850,106.6840,"TPHCM, Miền Nam, Bò kho, Bánh mì Hủ tiếu, Sáng Đậm đà"
63,Bún Mắm (Chị I),22 Phan Bội Châu - Quận 1,TPHCM,60000,4.3,10.7770,106.6980,"TPHCM, Miền Tây, Bún mắm, Cá Tôm Mực, Đậm đà Dân dã"
64,Starbucks,76 Lê Lai - Quận 1,TPHCM,80000,4.2,10.7755,106.7010,"TPHCM, Mỹ, Cafe, Frappuccino, Sang trọng Làm việc"
65,Cơm Chay (Thiện Duyên),505 Xô Viết Nghệ Tĩnh - Bình Thạnh,TPHCM,30000,4.4,10.7680,106.6630,"TPHCM, Á, Cơm chay, Rau củ Đậu, Bình dân Trưa"
66,Bánh Tráng Nướng (Phan Rang),123 Lê Lợi - Quận 1,TPHCM,20000,4.1,10.7785,106.6890,"TPHCM, Miền Trung, Bánh tráng nướng, Trứng Mắm ruốc, Ăn vặt Vỉa hè"
67,Nem Nướng (Nha Trang),400 Hai Bà Trưng - Quận 3,TPHCM,50000,4.3,10.7980,106.6780,"TPHCM, Miền Trung, Nem nướng, Cuốn Rau sống, Gia đình Bạn bè"
68,Cơm Văn Phòng (ABC),123 Nguyễn Huệ - Quận 1,TPHCM,45000,3.8,10.7810,106.6930,"TPHCM, Việt Nam, Cơm trưa, Thịt kho Canh, Văn phòng Nhanh"
69,Lẩu Cá Kèo (Bà Huyện),10 Sư Thiện Chiếu - Quận 3,TPHCM,150000,4.2,10.7790,106.6860,"TPHCM, Miền Tây, Lẩu cá kèo, Cá Lá giang, Nhậu Chua"
70,Pé Pâ (Bánh ngọt),118 Nguyễn Thị Minh Khai - Quận 3,TPHCM,70000,4.6,10.7745,106.6995,"TPHCM, Âu, Bánh ngọt, Tiramisu Cheese, Hẹn hò Cafe"
71,Bún Riêu (Gánh),4 Phan Bội Châu - Quận 1,TPHCM,55000,4.1,10.7730,106.7030,"TPHCM, Miền Nam, Bún riêu, Cua Ốc Huyết, Chợ Bến Thành"
72,Xôi Bắp (Ngô Quyền),109 Ngô Quyền - Quận 5,TPHCM,15000,4.4,10.7650,106.6700,"TPHCM, Việt Nam, Xôi bắp, Đậu xanh Hành phi, Sáng Mang đi"
73,Mì Vịt Tiềm,481 Nguyễn Tri Phương - Quận 10,TPHCM,70000,4.2,10.7560,106.6650,"TPHCM, Trung Hoa, Mì vịt tiềm, Vịt Thuốc bắc, Bổ dưỡng Đêm"
74,Hủ tiếu Mực (Ông Già),62 Tôn Thất Thiệp - Quận 1,TPHCM,45000,4.1,10.7700,106.6620,"TPHCM, Miền Nam, Hủ tiếu mực, Mực Tôm Thịt bằm, Sáng Trưa"
75,Don Chicken,25 Hồ Tùng Mậu - Quận 1,TPHCM,180000,4.3,10.7320,106.7080,"TPHCM, Hàn Quốc, Gà rán, Gà nướng Phô mai, Bạn bè Chuỗi"
76,Phở Thìn (Lò Đúc),13 Lò Đúc - Hai Bà Trưng,Hà Nội,60000,4.5,21.0170,105.8550,"Hà Nội, Miền Bắc, Phở, Bò Tái lăn, Truyền thống Nổi tiếng"
77,Bún Chả Hàng Mành (Đắc Kim),1 Hàng Mành - Hoàn Kiếm,Hà Nội,60000,4.3,21.0290,105.8480,"Hà Nội, Miền Bắc, Bún chả, Thịt nướng Nem, Truyền thống Trưa"
78,Chả Cá Lã Vọng (Chính gốc),14 Chả Cá - Hoàn Kiếm,Hà Nội,150000,4.2,21.0350,105.8450,"Hà Nội, Miền Bắc, Chả cá, Cá lăng Mắm tôm, Đặc sản Gia đình"
79,Cà Phê Giảng (Cafe Trứng),39 Nguyễn Hữu Huân - Hoàn Kiếm,Hà Nội,35000,4.6,21.0330,105.8510,"Hà Nội, Việt Nam, Cafe trứng, Trứng Sữa, Truyền thống Yên tĩnh"
80,Bánh Tôm Hồ Tây,1 Thanh Niên - Tây Hồ,Hà Nội,50000,4.1,21.0480,105.8380,"Hà Nội, Miền Bắc, Bánh tôm, Tôm Chiên giòn, View hồ Ăn vặt"
81,Phở Bò (Bát Đàn),49 Bát Đàn - Hoàn Kiếm,Hà Nội,55000,4.7,21.0320,105.8470,"Hà Nội, Miền Bắc, Phở bò, Bò Tái chín, Xếp hàng Truyền thống"
82,Bún Đậu (Ngõ Trạm),1B Ngõ Trạm - Hoàn Kiếm,Hà Nội,40000,4.2,21.0300,105.8460,"Hà Nội, Miền Bắc, Bún đậu, Mắm tôm Thịt luộc, Vỉa hè Bình dân"
83,Kem Tràng Tiền,35 Tràng Tiền - Hoàn Kiếm,Hà Nội,12000,4.5,21.0250,105.8560,"Hà Nội, Việt Nam, Kem, Đậu xanh Cốm, Ăn vặt Mang đi"
84,Bánh Cuốn (Bà Hoành),66 Tô Hiến Thành - Hai Bà Trưng,Hà Nội,35000,4.3,21.0150,105.8520,"Hà Nội, Miền Bắc, Bánh cuốn, Chả quế Thanh trì, Sáng Nhẹ nhàng"
