id,name,address,district,price,rating,lat,lon,tags
85,Xôi Yến,35B Nguyễn Hữu Huân - Hoàn Kiếm,Hà Nội,40000,4.0,21.0340,105.8500,"Hà Nội, Miền Bắc, Xôi, Gà Pate Trứng, Nhanh Đêm"
86,Bia Hơi (Hải Xồm),86 Lê Trọng Tấn - Thanh Xuân,Hà Nội,80000,4.1,21.0380,105.7950,"Hà Nội, Việt Nam, Bia hơi, Mồi Nhậu, Vỉa hè Bạn bè"
87,Lẩu Ếch (Phó Đức Chính),5 Phó Đức Chính - Ba Đình,Hà Nội,200000,4.2,21.0450,105.8420,"Hà Nội, Miền Bắc, Lẩu ếch, Ếch Măng cay, Nhậu Vỉa hè"
88,Miến Lươn (Đồng),87 Hàng Điếu - Hoàn Kiếm,Hà Nội,45000,4.3,21.0310,105.8490,"Hà Nội, Miền Bắc, Miến lươn, Lươn giòn Nước, Sáng Truyền thống"
89,Bánh Mì (Phố Cổ),38 Đinh Liệt - Hoàn Kiếm,Hà Nội,30000,4.4,21.0305,105.8520,"Hà Nội, Miền Bắc, Bánh mì, Pate Truyền thống, Mang đi Du lịch"
90,Nộm Bò Khô (Hàm Long),23 Hàm Long - Hoàn Kiếm,Hà Nội,35000,4.2,21.0220,105.8540,"Hà Nội, Miền Bắc, Nộm bò, Bò khô Đu đủ, Ăn vặt Vỉa hè"
91,Bún Thang (Cầu Gỗ),48 Cầu Gỗ - Hoàn Kiếm,Hà Nội,40000,4.1,21.0335,105.8530,"Hà Nội, Miền Bắc, Bún thang, Gà Trứng Giò, Tinh tế Sáng"
92,Pizza (Capricciosa),Vincom Bà Triệu - Hai Bà Trưng,Hà Nội,220000,4.5,21.0210,105.8510,"Hà Nội, Ý, Pizza, Pasta Phô mai, Gia đình Hẹn hò"
93,Cháo Trai (Trần Xuân Soạn),26 Trần Xuân Soạn - Hai Bà Trưng,Hà Nội,30000,4.3,21.0180,105.8550,"Hà Nội, Miền Bắc, Cháo trai, Trai Quẩy, Sáng Chiều Vỉa hè"
94,Lẩu Riêu Cua (Bà Sáu),19 Hàng Lược - Hoàn Kiếm,Hà Nội,250000,4.2,21.0370,105.8350,"Hà Nội, Miền Bắc, Lẩu riêu, Cua Bò sườn, Gia đình Nhậu"
95,Phở Gà (Nguyệt),5 Phủ Doãn - Hoàn Kiếm,Hà Nội,50000,4.4,21.0280,105.8430,"Hà Nội, Miền Bắc, Phở gà, Gà ta Trộn, Đêm Đông đúc"
96,Nem Chua Nướng (Ấu Triệu),10 Ấu Triệu - Hoàn Kiếm,Hà Nội,6000,4.5,21.0295,105.8495,"Hà Nội, Miền Bắc, Nem chua, Nướng Than hoa, Ăn vặt Ngõ"
97,Bánh Gối (Lý Quốc Sư),52 Lý Quốc Sư - Hoàn Kiếm,Hà Nội,20000,4.2,21.0300,105.8490,"Hà Nội, Miền Bắc, Bánh gối, Thịt Trứng cút, Chiên Ăn vặt"
98,Cafe Đinh,13 Đinh Tiên Hoàng - Hoàn Kiếm,Hà Nội,30000,4.6,21.0325,105.8535,"Hà Nội, Việt Nam, Cafe trứng, Trứng Ca cao, Cổ kính View hồ"
99,Bò Nhúng Dấm (555),52 Trung Hòa - Cầu Giấy,Hà Nội,150000,4.1,21.0360,105.8300,"Hà Nội, Việt Nam, Lẩu bò, Bò Nhúng dấm, Chuỗi Gia đình"
100,Vịt Cỏ (Vân Đình),Hà Đông,Hà Nội,120000,4.3,20.9950,105.8050,"Hà Nội, Miền Bắc, Vịt cỏ, Nướng Luộc Tiết canh, Nhậu Dân dã"
101,Bún Ốc (Cô Huệ),43 Nguyễn Siêu - Hoàn Kiếm,Hà Nội,40000,4.2,21.0190,105.8560,"Hà Nội, Miền Bắc, Bún ốc, Ốc Nguội Chua thanh, Cổ truyền Sáng"
102,Tào Phớ (Nghĩa Tân),106C2 Nghĩa Tân - Cầu Giấy,Hà Nội,10000,4.4,21.0420,105.7920,"Hà Nội, Việt Nam, Tào phớ, Thạch Trân châu, Giải khát Rẻ"
103,Bánh Đa Cua (Hàng Bạc),14 Hàng Bạc - Hoàn Kiếm,Hà Nội,35000,4.1,21.0330,105.8525,"Hà Nội, Miền Bắc, Bánh đa, Cua Rau cần, Trưa Nhanh"
104,Bánh Giò (Đông Các),33 Đông Các - Đống Đa,Hà Nội,15000,4.3,21.0200,105.8250,"Hà Nội, Miền Bắc, Bánh giò, Thịt Xúc xích, Chiều Nóng"
105,Bánh Mì Chảo (Thái Thịnh),35 Thái Thịnh - Đống Đa,Hà Nội,50000,4.2,21.0080,105.8200,"Hà Nội, Việt Nam, Bánh mì chảo, Pate Trứng Bò, Sốt vang Học sinh"
106,Bò Bít Tết (Hòe Nhai),3 Hòe Nhai - Ba Đình,Hà Nội,80000,4.1,21.0400,105.8450,"Hà Nội, Âu, Bít tết, Bò Khoai chiên, Bình dân Vỉa hè"
107,Lẩu Nướng (Gật Gù),134 Nguyễn Khánh Toàn - Cầu Giấy,Hà Nội,150000,4.0,21.0550,105.8300,"Hà Nội, Á, Buffet, Lẩu Nướng, Sinh viên Rẻ"
108,Bún Cá (Sâm Cây Si),5 Ngõ Trung Yên - Hoàn Kiếm,Hà Nội,40000,4.3,21.0315,105.8485,"Hà Nội, Miền Bắc, Bún cá, Cá giòn Chả cá, Ngõ Trưa"
109,Cà Phê (Cộng),27 Nhà Thờ - Hoàn Kiếm,Hà Nội,50000,4.5,21.0300,105.8500,"Hà Nội, Việt Nam, Cafe, Cốt dừa Cốm, Bao cấp Checkin"
110,Bánh Tráng Cuốn Thịt Heo (Hoàng Bèo),40 Duy Tân - Cầu Giấy,Hà Nội,80000,4.2,21.0150,105.8350,"Hà Nội, Miền Trung, Bánh tráng cuốn, Thịt heo Mắm nêm, Chuỗi Văn phòng"
111,Gà Tần (Mai Hương),12 Hàng Cót - Hoàn Kiếm,Hà Nội,50000,4.3,21.0050,105.8510,"Hà Nội, Miền Bắc, Gà tần, Thuốc bắc Ngải cứu, Bổ dưỡng Đêm"
112,Chân Gà Nướng (Mỹ Miều),Phạm Ngọc Thạch - Đống Đa,Hà Nội,10000,4.1,21.0100,105.8300,"Hà Nội, Việt Nam, Chân gà, Nướng Mật ong, Nhậu Đêm"
113,Bún Ngan (Nhàn),14 Ngõ Trung Yên - Hoàn Kiếm,Hà Nội,45000,4.4,21.0310,105.8460,"Hà Nội, Miền Bắc, Bún ngan, Ngan Măng, Trưa Xếp hàng"
114,Quẩy Nóng (Hàng Bông),73 Hàng Bông - Hoàn Kiếm,Hà Nội,5000,4.2,21.0290,105.8475,"Hà Nội, Việt Nam, Quẩy, Chiên Nóng, Ăn vặt Mùa đông"
115,Trà Chanh (Nhà Thờ),Khu Nhà Thờ Lớn - Hoàn Kiếm,Hà Nội,20000,4.5,21.0285,105.8495,"Hà Nội, Việt Nam, Trà chanh, Hướng dương, Vỉa hè Chém gió"
116,Phở Xào (Bát Đàn),32 Bát Đàn - Hoàn Kiếm,Hà Nội,60000,4.3,21.0320,105.8470,"Hà Nội, Miền Bắc, Phở xào, Bò Rau cải, Tối Săn chắc"
117,Bánh Khúc (Cô Lan),69B Nguyễn Công Trứ - Hai Bà Trưng,Hà Nội,15000,4.4,21.0180,105.8540,"Hà Nội, Miền Bắc, Bánh khúc, Xôi Đỗ xanh, Sáng Đêm Mang đi"
118,Lẩu Thái (Coca Suki),75 Láng Hạ - Đống Đa,Hà Nội,300000,4.5,21.0320,105.8280,"Hà Nội, Thái Lan, Lẩu thái, Tomyum Hải sản, Sang trọng Chuỗi"
119,Mì Gà Tần (Cây Táo),23 Hàng Cân - Hoàn Kiếm,Hà Nội,50000,4.2,21.0350,105.8480,"Hà Nội, Miền Bắc, Mì gà tần, Thuốc bắc, Ăn khuya"
120,Bún Bò Nam Bộ (Bách Phương),67 Hàng Điếu - Hoàn Kiếm,Hà Nội,60000,4.6,21.0310,105.8505,"Hà Nội, Miền Nam, Bún bò trộn, Lạc Hành phi, Chua ngọt Khách tây"
121,Chè (Bốn Mùa),4 Hàng Cân - Hoàn Kiếm,Hà Nội,25000,4.4,21.0345,105.8520,"Hà Nội, Miền Bắc, Chè, Sen Đỗ đen, Truyền thống Mát"
122,Gà Không Lối Thoát (Hương Việt),88 Ngô Thì Nhậm - Hai Bà Trưng,Hà Nội,250000,4.3,21.0400,105.7850,"Hà Nội, Việt Nam, Gà bọc xôi, Gà nướng Chiên, Gia đình Lạ"
123,King BBQ,Royal City - Thanh Xuân,Hà Nội,300000,4.4,21.0280,105.8250,"Hà Nội, Hàn Quốc, Nướng, Bò Mỹ Buffet, TTTM Gia đình"
124,Dimsum (Long Đình),64B Quán Sứ - Hoàn Kiếm,Hà Nội,350000,4.7,21.0250,105.8530,"Hà Nội, Trung Hoa, Dimsum, Vịt quay, Sang trọng Tiếp khách"
125,Bánh Đúc Nóng (Trung Tự),116C2 Trung Tự - Đống Đa,Hà Nội,15000,4.3,21.0080,105.8320,"Hà Nội, Miền Bắc, Bánh đúc nóng, Thịt băm Mộc nhĩ, Chiều Đông"
126,Nem Lụi (Huế),Phan Huy Ích - Ba Đình,Hà Nội,40000,4.1,21.0160,105.8280,"Hà Nội, Miền Trung, Nem lụi, Nướng Cuốn, Ăn vặt"
127,Bò Nướng (Xuân Xuân),47 Mã Mây - Hoàn Kiếm,Hà Nội,100000,4.0,21.0340,105.8500,"Hà Nội, Việt Nam, Bò nướng, Nầm nướng Giấy bạc, Vỉa hè Khói"
128,Ốc (Trang),Đinh Liệt - Hoàn Kiếm,Hà Nội,100000,4.2,21.0220,105.8400,"Hà Nội, Miền Bắc, Ốc, Luộc Xào me, Vỉa hè Đắt khách"
129,Bún Dọc Mùng (Bát Đàn),18 Bát Đàn - Hoàn Kiếm,Hà Nội,35000,4.1,21.0320,105.8470,"Hà Nội, Miền Bắc, Bún dọc mùng, Mọc Thịt chân giò, Sáng Thanh đạm"
130,Manwah (Lẩu Đài Loan),Lotte Center - Ba Đình,Hà Nội,350000,4.6,21.0380,105.7950,"Hà Nội, Đài Loan, Lẩu, Buffet Mala, Sang trọng Dịch vụ"
131,Mỳ Vằn Thắn (Số 9 Đinh Liệt),9 Đinh Liệt - Hoàn Kiếm,Hà Nội,40000,4.4,21.0330,105.8530,"Hà Nội, Trung Hoa, Mì vằn thắn, Sủi cảo Gan, Phố cổ"
132,Chè Sầu (Chè Chang Hi),100 Xã Đàn - Đống Đa,Hà Nội,35000,4.3,21.0150,105.8300,"Hà Nội, Miền Nam, Chè sầu, Sầu riêng Đà Nẵng, Ngọt Béo"
133,Bánh Mì (Nguyên Sinh),17 Lý Quốc Sư - Hoàn Kiếm,Hà Nội,80000,4.2,21.0310,105.8495,"Hà Nội, Âu, Bánh mì chảo, Pate Gan ngỗng, Sang chảnh Lâu đời"
134,Bia Hải Hói,123 Nguyễn Khánh Toàn - Cầu Giấy,Hà Nội,100000,4.0,21.0420,105.8200,"Hà Nội, Việt Nam, Bia hơi, Nhậu Mồi, Ồn ào Bình dân"
135,Cafe (Giảng 2),106 Yên Phụ - Tây Hồ,Hà Nội,35000,4.5,21.0330,105.8510,"Hà Nội, Việt Nam, Cafe trứng, Yên Phụ, View đường"
136,Lẩu Cháo (Quán Sứ),63 Quán Sứ - Hoàn Kiếm,Hà Nội,150000,4.1,21.0250,105.8450,"Hà Nội, Miền Bắc, Lẩu cháo, Chim Bồ câu, Đêm Ấm"
137,Cơm Rang Dưa Bò (Mã Mây),47 Mã Mây - Hoàn Kiếm,Hà Nội,50000,4.2,21.0350,105.8520,"Hà Nội, Việt Nam, Cơm rang, Dưa bò, Phố cổ No"
138,Bún Bò Huế (Hàng Bún),34 Hàng Bún - Ba Đình,Hà Nội,45000,4.0,21.0400,105.8420,"Hà Nội, Miền Trung, Bún bò huế, Giò heo, Cay"
139,Bánh Đa Trộn (Hàng Chĩnh),17 Hàng Chĩnh - Hoàn Kiếm,Hà Nội,30000,4.3,21.0370,105.8530,"Hà Nội, Miền Bắc, Bánh đa trộn, Cua Giò, Ăn vặt Trưa"
140,Nướng (Lụa),68 Đê La Thành - Đống Đa,Hà Nội,180000,4.1,21.0480,105.8350,"Hà Nội, Việt Nam, Nướng, Bò nầm, Vỉa hè Đông đúc"
141,Cơm Sườn (Đào Duy Từ),47 Đào Duy Từ - Hoàn Kiếm,Hà Nội,40000,4.2,21.0340,105.8510,"Hà Nội, Việt Nam, Cơm sườn, Sườn nướng, Trưa Văn phòng"
142,Kem (Xôi),8 Hai Bà Trưng - Hoàn Kiếm,Hà Nội,20000,4.4,21.0150,105.8500,"Hà Nội, Việt Nam, Kem xôi, Dừa khô, Ăn vặt Mùa hè"
143,Bánh Tráng Trộn (Hàng Trống),86 Hàng Trống - Hoàn Kiếm,Hà Nội,25000,4.3,21.0300,105.8490,"Hà Nội, Miền Nam, Bánh tráng trộn, Xoài Bò khô, Vỉa hè Cay"
144,Bún Đậu (Hàng Khay),31 Hàng Khay - Hoàn Kiếm,Hà Nội,50000,4.5,21.0260,105.8530,"Hà Nội, Miền Bắc, Bún đậu, Mắm tôm Chả cốm, Ngõ Hẹp Đông"
145,Bò Nầm Nướng (Cầu Gỗ),45 Cầu Gỗ - Hoàn Kiếm,Hà Nội,120000,4.1,21.0330,105.8530,"Hà Nội, Việt Nam, Nầm bò nướng, Vỉa hè, Nhậu Đêm View hồ"
146,Lẩu Gà (Cáo),125 Nguyễn Chí Thanh - Đống Đa,Hà Nội,200000,4.3,21.0180,105.8300,"Hà Nội, Miền Bắc, Lẩu gà, Lá é Thuốc bắc, Hội nhóm"
147,Nem Rán (Hàng Bè),21 Hàng Bè - Hoàn Kiếm,Hà Nội,5000,4.4,21.0320,105.8520,"Hà Nội, Miền Bắc, Nem rán, Tạm thương, Ăn vặt Rẻ"
148,Bánh Cuốn (Gia An),105 Lò Đúc - Hai Bà Trưng,Hà Nội,40000,4.1,21.0150,105.8510,"Hà Nội, Miền Bắc, Bánh cuốn, Chả mực, Chuỗi Sạch sẽ"
149,Phở Cuốn (Hưng Bền),33 Ngũ Xã - Ba Đình,Hà Nội,60000,4.3,21.0450,105.8400,"Hà Nội, Miền Bắc, Phở cuốn, Phở chiên phồng, Ngũ Xã Nhậu"
150,Chè (Tự Do),80 Quán Thánh - Ba Đình,Hà Nội,30000,4.2,21.0400,105.8350,"Hà Nội, Việt Nam, Chè, Cốm Khoai môn, Cổ truyền"
151,Phở Hòa Pasteur,260C Pasteur - Quận 3,TPHCM,90000,4.5,10.7825,106.6890,"TPHCM, Miền Nam, Phở, Bò Nạm Gầu, Truyền thống Nổi tiếng"
152,Phở Hùng,243 Nguyễn Trãi - Quận 1,TPHCM,75000,4.2,10.7650,106.6880,"TPHCM, Miền Nam, Phở, Bò Viên, Chuỗi Máy lạnh"
153,Phở Phú Vương,339 Lê Văn Sỹ - Tân Bình,TPHCM,65000,4.3,10.7990,106.6720,"TPHCM, Miền Nam, Phở, Bò Tái Nạm, Đậm đà"
154,Phở Minh,63/6 Pasteur - Quận 1,TPHCM,80000,4.4,10.7750,106.7010,"TPHCM, Miền Bắc, Phở, Bò Tái, Hẻm Yên tĩnh"
155,Phở Cao Vân,25 Mạc Đĩnh Chi - Quận 1,TPHCM,70000,4.6,10.7850,106.7000,"TPHCM, Miền Bắc, Phở, Bò Chín, Lâu đời Cụ già"
156,Phở 10 Lý Quốc Sư,10 Lý Quốc Sư - Hoàn Kiếm,Hà Nội,80000,4.7,21.0300,105.8480,"Hà Nội, Miền Bắc, Phở, Bò Tái Chín, Nổi tiếng Xếp hàng"
157,Phở Sướng,24B Ngõ Trung Yên - Hoàn Kiếm,Hà Nội,60000,4.5,21.0320,105.8520,"Hà Nội, Miền Bắc, Phở, Bò Gầu, Ngõ Phố cổ"
158,Phở Vui,25 Hàng Giầy - Hoàn Kiếm,Hà Nội,55000,4.3,21.0350,105.8500,"Hà Nội, Miền Bắc, Phở, Bò Tái Lăn, Vỉa hè"
159,Phở Cường,23 Hàng Muối - Hoàn Kiếm,Hà Nội,50000,4.4,21.0360,105.8540,"Hà Nội, Miền Bắc, Phở, Bò Lõi Rùa, Sáng Nhanh"
160,Phở Bưng,1 Hàng Trống - Hoàn Kiếm,Hà Nội,40000,4.2,21.0280,105.8490,"Hà Nội, Miền Bắc, Phở, Bò, Vỉa hè Bưng bê"
161,Cơm Tấm Cali,32 Nguyễn Trãi - Quận 1,TPHCM,85000,4.1,10.7700,106.6900,"TPHCM, Miền Nam, Cơm tấm, Sườn Bì Chả, Chuỗi Văn phòng"
162,Cơm Tấm Phúc Lộc Thọ,236 Đinh Tiên Hoàng - Quận 1,TPHCM,55000,4.3,10.7900,106.6950,"TPHCM, Miền Nam, Cơm tấm, Sườn nướng, Chuỗi Sạch sẽ"
163,Cơm Tấm Thuận Kiều,46 Tôn Thất Tùng - Quận 1,TPHCM,90000,4.0,10.7850,106.6920,"TPHCM, Miền Nam, Cơm tấm, Sườn to, Lâu đời"
164,Cơm Tấm Mộc,85 Lý Tự Trọng - Quận 1,TPHCM,75000,4.4,10.7760,106.6980,"TPHCM, Miền Nam, Cơm tấm, Sườn que, Máy lạnh Văn phòng"
165,Cơm Tấm Sà Bì Chưởng,179 Trần Bình Trọng - Quận 5,TPHCM,80000,4.5,10.7580,106.6750,"TPHCM, Miền Nam, Cơm tấm, Sườn Cốt lết, Hot trend"
166,Cơm Tấm Ali,304 Kim Ngưu - Hai Bà Trưng,Hà Nội,60000,4.3,21.0050,105.8600,"Hà Nội, Miền Nam, Cơm tấm, Sườn nướng Bì, Cần thơ"
167,Cơm Tấm Tường Hân,70 Dịch Vọng Hậu - Cầu Giấy,Hà Nội,70000,4.2,21.0350,105.7850,"Hà Nội, Miền Nam, Cơm tấm, Sườn Khìa, Văn phòng"
168,Cơm Tấm 36,11 Phùng Hưng - Hoàn Kiếm,Hà Nội,55000,4.1,21.0400,105.8480,"Hà Nội, Miền Nam, Cơm tấm, Sườn Chả trứng, Phố cổ"
169,Cơm Tấm Tư Lùn,269 Kim Mã - Ba Đình,Hà Nội,65000,4.0,21.0320,105.8200,"Hà Nội, Miền Nam, Cơm tấm, Sườn Bì, Bình dân"
170,Cơm Tấm Kiều Ký,31A Lê Văn Hưu - Hai Bà Trưng,Hà Nội,60000,4.2,21.0180,105.8520,"Hà Nội, Miền Nam, Cơm tấm, Sườn Cây, Trưa"